ac_id,date,debit_credit_indicator,transaction_category,transaction_type,transaction_amount,disputed_transaction_indicator,failed_transaction_indicator,counterparty_name,description,category,sub_category,country,city,transaction_id
5634523468,2023-10-16,Credit,IMPS,Fund,125000,false,false,Fund,Fund withdrawal,Earning,Passive,India,Bengaluru,1504
5634523468,2022-07-17,Debit,UPI,P2P Transfer,350,false,false,Gopi,Ola Ride from Office to lunch,Needs,Transportation,India,Bengaluru,1094
5634523468,2023-06-02,Debit,UPI,P2P Transfer,350,false,false,Gopi,Ola Ride from Office to lunch,Needs,Transportation,India,Bengaluru,1093
5634523468,2022-12-24,Debit,UPI,P2P Transfer,350,false,false,Gopi,Ola Ride from Office to lunch,Needs,Transportation,India,Bengaluru,1092
5634523468,2023-04-09,Debit,RTGS,Utility Bill Payment,500,false,false,PG&E,Paid electricity bill for September 2023,Needs,Housing,India,Bengaluru,232
5634523468,2022-10-31,Debit,RTGS,Utility Bill Payment,500,false,false,PG&E,Paid electricity bill for September 2023,Needs,Housing,India,Bengaluru,233
5634523468,2023-09-16,Debit,RTGS,Utility Bill Payment,500,false,false,PG&E,Paid electricity bill for September 2023,Needs,Housing,India,Bengaluru,234
5634523468,2022-11-28,Credit,NEFT,Salary,35000,false,false,SRIB,Salary for Nov 2022,Earning,Active,India,Bengaluru,117
5634523468,2023-03-22,Credit,NEFT,Salary,35000,false,false,SRIB,Salary credit for March 2023,Earning,Active,India,Bengaluru,106
5634523468,2023-02-20,Credit,NEFT,Salary,35000,false,false,SRIB,Salary credit for Feb 2023,Earning,Active,India,Bengaluru,115
5634523468,2023-01-21,Credit,NEFT,Salary,35000,false,false,SRIB,Salary credit for Jan 2023,Earning,Active,India,Bengaluru,111
5634523468,2022-10-13,Credit,NEFT,Salary,35000,false,false,SRIB,Salary credit for Oct 2022,Earning,Active,India,Bengaluru,110
5634523468,2023-09-13,Credit,NEFT,Salary,35000,false,false,SRIB,Salary for September 2023,Earning,Active,India,Bengaluru,114
5634523468,2023-08-29,Credit,NEFT,Salary,35000,false,false,SRIB,Salary credit for Aug 2023,Earning,Active,India,Bengaluru,108
5634523468,2023-04-06,Credit,NEFT,Salary,35000,false,false,SRIB,Salary for April 2023,Earning,Active,India,Bengaluru,109
5634523468,2022-09-13,Credit,NEFT,Salary,35000,false,false,SRIB,Salary credit for Sept 2022,Earning,Active,India,Bengaluru,116
5634523468,2022-08-14,Credit,NEFT,Salary,35000,false,false,SRIB,Salary credit for Aug 2022,Earning,Active,India,Bengaluru,113
5634523468,2023-07-30,Credit,NEFT,Salary,35000,false,false,SRIB,Salary credit for July 2023,Earning,Active,India,Bengaluru,112
5634523468,2023-06-30,Credit,NEFT,Salary,35000,false,false,SRIB,Salary credit for June 2023,Earning,Active,India,Bengaluru,107
5634523468,2022-10-30,Credit,UPI,P2M Transfer,500,false,false,Uber,Paid for Uber ride,Needs,Transportation,India,Bengaluru,236
5634523468,2023-09-15,Credit,UPI,P2M Transfer,500,false,false,Uber,Paid for Uber ride,Needs,Transportation,India,Bengaluru,237
5634523468,2023-04-08,Credit,UPI,P2M Transfer,500,false,false,Uber,Paid for Uber ride,Needs,Transportation,India,Bengaluru,235
5634523468,2022-07-19,Debit,UPI,P2P Transfer,700,false,false,Kumar,Ola Ride from Restaurant to friend's place,Needs,Transportation,India,Bengaluru,1118
5634523468,2022-12-26,Debit,UPI,P2P Transfer,700,false,false,Kumar,Ola Ride from Restaurant to friend's place,Needs,Transportation,India,Bengaluru,1116
5634523468,2023-06-04,Debit,UPI,P2P Transfer,700,false,false,Kumar,Ola Ride from Restaurant to friend's place,Needs,Transportation,India,Bengaluru,1117
1100023468,2022-10-22,Debit,UPI,P2M Transfer,5000,false,false,Amazon,Paid for groceries on Amazon,Needs,Food and Groceries,India,Bengaluru,843
1100023468,2023-03-31,Debit,UPI,P2M Transfer,5000,false,false,Amazon,Paid for groceries on Amazon,Needs,Food and Groceries,India,Bengaluru,845
1100023468,2022-10-17,Debit,BBPS,SI Transfer,1780,false,false,BESCOM,Electricity Payment,Needs,Housing,India,Bengaluru,1059
1100023468,2023-03-26,Debit,BBPS,SI Transfer,1780,false,false,BESCOM,Electricity Payment,Needs,Housing,India,Bengaluru,1061
1100023468,2023-09-26,Debit,UPI,P2P Transfer,13000,false,false,BESCOM,Electricity Payment,Needs,Housing,India,Bengaluru,3000
1100023468,2023-01-21,Credit,NEFT,Salary,1107800,false,false,Google,Salary credit for Jan 2023,Earning,Active,India,Bengaluru,1184
1100023468,2022-08-14,Credit,NEFT,Salary,1107800,false,false,Google,Salary credit for Aug 2022,Earning,Active,India,Bengaluru,1186
1100023468,2023-08-30,Credit,NEFT,Salary,1107800,false,false,Google,Salary credit for Aug 2023,Earning,Active,India,Bengaluru,1182
1100023468,2023-06-30,Credit,NEFT,Salary,1107800,false,false,Google,Salary credit for Jun 2023,Earning,Active,India,Bengaluru,1183
1100023468,2023-07-30,Credit,NEFT,Salary,1107800,false,false,Google,Salary credit for July 2023,Earning,Active,India,Bengaluru,1181
1100023468,2023-03-23,Credit,NEFT,Salary,1107800,false,false,Google,Salary credit for March 2023,Earning,Active,India,Bengaluru,1187
1100023468,2023-02-20,Credit,NEFT,Salary,1107800,false,false,Google,Salary credit for Feb 2023,Earning,Active,India,Bengaluru,1185
1100023468,2022-10-14,Credit,NEFT,Salary,1107800,false,false,Google,Salary credit for Oct 2022,Earning,Active,India,Bengaluru,1179
1100023468,2022-09-13,Credit,NEFT,Salary,1107800,false,false,Google,Salary credit for Sept 2022,Earning,Active,India,Bengaluru,1180
5634523468,2023-06-03,Debit,UPI,P2P Transfer,500,false,false,Kartik,Ola Ride from Home to mall,Needs,Transportation,India,Bengaluru,239
5634523468,2022-07-18,Debit,UPI,P2P Transfer,500,false,false,Kartik,Ola Ride from Home to mall,Needs,Transportation,India,Bengaluru,240
5634523468,2022-12-25,Debit,UPI,P2P Transfer,500,false,false,Kartik,Ola Ride from Home to mall,Needs,Transportation,India,Bengaluru,238
5634523468,2023-06-04,Debit,UPI,P2P Transfer,800,false,false,Lokesh,Ola Ride from Friend's place to home,Needs,Transportation,India,Bengaluru,62
5634523468,2022-07-19,Debit,UPI,P2P Transfer,800,false,false,Lokesh,Ola Ride from Friend's place to home,Needs,Transportation,India,Bengaluru,63
5634523468,2022-12-26,Debit,UPI,P2P Transfer,800,false,false,Lokesh,Ola Ride from Friend's place to home,Needs,Transportation,India,Bengaluru,61
5634523468,2022-07-18,Debit,UPI,P2P Transfer,600,false,false,Krishna,Ola Ride from Mall to restaurant,Needs,Transportation,India,Bengaluru,1032
